Index,PointID,SiteID,Latitude,Longitude,HorizontalDatum,Elevation (feet above sea level),VerticalDatum
1,AR-0209,N/A,36.83826,-107.9922,WGS84,5642.32,NAVD88
2,AR-0214,N/A,36.75973,-108.20093,WGS84,5555.35,NAVD88
3,BC-0001,N/A,34.96342,-106.30975,WGS84,7437.99,N/A
4,BC-0002,N/A,34.95595,-106.30838,WGS84,7410.99,N/A
5,BC-0003,N/A,35.08595,-106.39149,WGS84,6527.00,N/A
6,BC-0004,N/A,35.08752,-106.38849,WGS84,6610.99,N/A
7,BC-0005,N/A,35.08707,-106.38847,WGS84,6591.01,N/A
8,BC-0006,N/A,35.12249,-106.37327,WGS84,6781.00,N/A
9,BC-0007,N/A,35.12475,-106.37318,WGS84,6833.01,N/A
10,BC-0008,350726106222701,35.1241,-106.37482,WGS84,6818.01,N/A
11,BC-0009,N/A,35.12779,-106.37504,WGS84,6893.01,N/A
12,BC-0010,N/A,35.1277,-106.37513,WGS84,6889.99,N/A
13,BC-0011,350726106222301,35.12402,-106.37357,WGS84,6812.99,N/A
14,BC-0012,350726106223101,35.12391,-106.37564,WGS84,6812.01,N/A
15,BC-0013,350728106222301,35.12438,-106.37353,WGS84,6824.02,N/A
16,BC-0014,N/A,35.06902,-106.44325,WGS84,6106.00,N/A
17,BC-0015,N/A,35.05639,-106.46659,WGS84,5844.00,N/A
18,BC-0016,N/A,35.05913,-106.46384,WGS84,5818.01,N/A
19,BC-0017,N/A,35.06848,-106.44324,WGS84,6087.01,N/A
20,BC-0018,N/A,35.07372,-106.44293,WGS84,6243.01,N/A
21,BC-0019,N/A,35.06902,-106.44319,WGS84,6104.99,N/A
22,BC-0020,N/A,35.06723,-106.44226,WGS84,6043.01,N/A
23,BC-0022,N/A,35.0592,-106.46539,WGS84,5789.01,N/A
24,BC-0023,350357106262801,35.06589,-106.44159,WGS84,6004.99,N/A
25,BC-0024,350405106263501,35.06794,-106.44353,WGS84,6077.00,N/A
26,BC-0025,N/A,35.07469,-106.44463,WGS84,6266.01,N/A
27,BC-0026,N/A,35.06652,-106.44142,WGS84,6027.99,N/A
28,BC-0027,N/A,35.1363,-106.34836,WGS84,7125.98,N/A
29,BC-0028,N/A,35.14805,-106.30419,WGS84,6702.99,N/A
30,BC-0029,N/A,35.1456,-106.30563,WGS84,6749.02,N/A
31,BC-0030,N/A,35.1456,-106.30555,WGS84,6748.00,N/A
32,BC-0031,N/A,35.15181,-106.30698,WGS84,6706.00,N/A
33,BC-0032,N/A,35.15045,-106.28238,WGS84,6869.00,N/A
34,BC-0033,N/A,35.14865,-106.28219,WGS84,6850.98,N/A
35,BC-0034,350531106224301,35.09186,-106.37909,WGS84,6477.99,N/A
36,BC-0035,N/A,35.14554,-106.2865,WGS84,6812.01,N/A
37,BC-0036,N/A,35.10951,-106.34065,WGS84,6775.98,N/A
38,BC-0037,N/A,35.13667,-106.34694,WGS84,7116.99,N/A
39,BC-0038,N/A,35.12213,-106.3245,WGS84,6752.99,N/A
40,BC-0039,N/A,35.14791,-106.3176,WGS84,6881.00,N/A
41,BC-0040,N/A,35.13686,-106.28838,WGS84,6849.02,N/A
42,BC-0041,N/A,35.15123,-106.33484,WGS84,6825.98,N/A
43,BC-0042,N/A,35.14061,-106.30013,WGS84,6795.01,N/A
44,BC-0043,N/A,35.14486,-106.34856,WGS84,6987.99,N/A
45,BC-0044,N/A,35.11467,-106.30596,WGS84,6860.99,N/A
46,BC-0045,N/A,35.11894,-106.30272,WGS84,6904.00,N/A
47,BC-0046,N/A,35.11344,-106.33635,WGS84,6812.01,N/A
48,BC-0047,N/A,35.14724,-106.28693,WGS84,6837.01,N/A
49,BC-0048,N/A,35.15172,-106.34788,WGS84,6973.00,N/A
50,BC-0049,N/A,35.16887,-106.32983,WGS84,6687.99,N/A
51,BC-0050,N/A,35.14594,-106.34087,WGS84,6902.00,N/A
52,BC-0051,N/A,35.13555,-106.34223,WGS84,6941.01,N/A
53,BC-0052,N/A,35.15095,-106.32,WGS84,6858.01,N/A
54,BC-0053,N/A,35.11575,-106.30594,WGS84,6850.98,N/A
55,BC-0054,N/A,35.12947,-106.3044,WGS84,6875.98,N/A
56,BC-0055,N/A,35.1033,-106.3559,WGS84,6558.01,N/A
57,BC-0056,N/A,35.13644,-106.33582,WGS84,6958.01,N/A
58,BC-0057,N/A,35.13458,-106.34018,WGS84,6910.01,N/A
59,BC-0058,N/A,35.11159,-106.34072,WGS84,6669.00,N/A
60,BC-0059,N/A,35.14806,-106.30352,WGS84,6708.01,N/A
61,BC-0060,N/A,35.16696,-106.33096,WGS84,6694.00,N/A
62,BC-0061,N/A,35.13578,-106.33807,WGS84,6922.01,N/A
63,BC-0062,N/A,35.14033,-106.30098,WGS84,6785.01,N/A
64,BC-0063,N/A,35.13137,-106.32899,WGS84,6856.00,N/A
65,BC-0064,N/A,35.13027,-106.32284,WGS84,6777.99,N/A
66,BC-0065,N/A,35.12774,-106.32278,WGS84,6820.01,N/A
67,BC-0066,N/A,35.10298,-106.35283,WGS84,6562.99,N/A
68,BC-0067,N/A,35.14449,-106.29164,WGS84,6777.00,N/A
69,BC-0068,N/A,35.16714,-106.33174,WGS84,6702.00,N/A
70,BC-0069,N/A,35.16966,-106.3314,WGS84,6700.00,N/A
71,BC-0070,N/A,35.1507,-106.33416,WGS84,6802.00,N/A
72,BC-0071,N/A,35.15116,-106.34121,WGS84,6972.01,N/A
73,BC-0072,N/A,35.14806,-106.30352,WGS84,6708.01,N/A
74,BC-0073,N/A,35.14956,-106.36395,WGS84,7000.00,N/A
75,BC-0074,N/A,35.16957,-106.34791,WGS84,6864.01,N/A
76,BC-0075,N/A,35.13343,-106.37097,WGS84,6906.00,N/A
77,BC-0076,N/A,35.13232,-106.37291,WGS84,7008.99,N/A
78,BC-0077,N/A,35.14215,-106.37353,WGS84,7119.00,N/A
79,BC-0078,N/A,35.1448,-106.37037,WGS84,7025.98,N/A
80,BC-0079,N/A,35.1448,-106.37043,WGS84,7025.00,N/A
81,BC-0080,N/A,35.15116,-106.36592,WGS84,7062.99,N/A
82,BC-0081,N/A,35.15116,-106.36591,WGS84,7062.99,N/A
83,BC-0082,N/A,35.16899,-106.36749,WGS84,7100.98,N/A
84,BC-0083,350901106214201,35.15029,-106.3628,WGS84,6985.99,N/A
85,BC-0084,N/A,35.16804,-106.34747,WGS84,6850.00,N/A
86,BC-0085,N/A,35.16669,-106.34774,WGS84,6839.99,N/A
87,BC-0086,N/A,35.14525,-106.36982,WGS84,7025.00,N/A
88,BC-0087,N/A,35.13815,-106.36802,WGS84,6902.00,N/A
89,BC-0088,N/A,35.16998,-106.35196,WGS84,6931.99,N/A
90,BC-0089,N/A,35.13101,-106.36967,WGS84,6900.00,N/A
91,BC-0090,N/A,35.13521,-106.37287,WGS84,6949.02,N/A
92,BC-0091,N/A,35.13081,-106.37093,WGS84,6987.01,N/A
93,BC-0092,N/A,35.09606,-106.38235,WGS84,6558.99,N/A
94,BC-0093,N/A,35.13343,-106.37097,WGS84,6906.00,N/A
95,BC-0094,N/A,35.16952,-106.36896,WGS84,7129.99,N/A
96,BC-0095,N/A,35.17022,-106.37023,WGS84,7166.99,N/A
97,BC-0096,N/A,35.16884,-106.34848,WGS84,6866.99,N/A
98,BC-0097,N/A,35.16868,-106.34729,WGS84,6852.99,N/A
99,BC-0098,350930106210701,35.15825,-106.35257,WGS84,6877.00,N/A
100,BC-0099,351011106220401,35.16952,-106.36896,WGS84,7129.99,N/A
101,BC-0100,N/A,35.10254,-106.38345,WGS84,6725.98,N/A
102,BC-0101,N/A,35.16569,-106.34795,WGS84,6852.99,N/A
103,BC-0102,N/A,34.98535,-106.3249,WGS84,7560.99,N/A
104,BC-0103,N/A,35.01132,-106.25673,WGS84,7058.99,N/A
105,BC-0104,N/A,34.99181,-106.26024,WGS84,7231.99,N/A
106,BC-0105,N/A,35.07994,-106.37327,WGS84,6443.01,N/A
107,BC-0106,N/A,34.98687,-106.30971,WGS84,7466.01,N/A
108,BC-0107,N/A,34.99616,-106.25774,WGS84,7158.01,N/A
109,BC-0108,N/A,34.88859,-106.23145,WGS84,6798.00,N/A
110,BC-0109,N/A,34.95672,-106.28687,WGS84,7262.99,N/A
111,BC-0110,N/A,35.03197,-106.29114,WGS84,7091.01,N/A
112,BC-0111,N/A,35.10196,-106.34698,WGS84,6531.99,N/A
113,BC-0112,N/A,34.96984,-106.30026,WGS84,7277.00,N/A
114,BC-0113,N/A,35.07881,-106.38457,WGS84,6320.01,N/A
115,BC-0114,N/A,34.97702,-106.34418,WGS84,7498.00,N/A
116,BC-0115,N/A,34.97729,-106.34465,WGS84,7512.99,N/A
117,BC-0116,N/A,34.93433,-106.30641,WGS84,7446.00,N/A
118,BC-0117,N/A,34.95196,-106.33545,WGS84,7396.00,N/A
119,BC-0118,N/A,35.0221,-106.35303,WGS84,7077.99,N/A
120,BC-0119,N/A,34.94429,-106.32006,WGS84,7648.00,N/A
121,BC-0120,N/A,34.9863,-106.34498,WGS84,7712.01,N/A
122,BC-0121,N/A,34.95376,-106.34446,WGS84,7324.02,N/A
123,BC-0122,N/A,34.95282,-106.29782,WGS84,7360.99,N/A
124,BC-0123,N/A,35.0682,-106.45932,WGS84,5991.01,N/A
125,BC-0124,N/A,35.0718,-106.45986,WGS84,6135.01,N/A
126,BC-0125,N/A,35.07133,-106.46117,WGS84,6116.99,N/A
127,BC-0126,N/A,35.0698,-106.46167,WGS84,6058.01,N/A
128,BC-0127,N/A,35.07035,-106.46092,WGS84,6070.01,N/A
129,BC-0128,N/A,35.09066,-106.30891,WGS84,7112.99,N/A
130,BC-0129,N/A,35.16642,-106.47142,WGS84,6427.99,N/A
131,BC-0130,N/A,34.99442,-106.26939,WGS84,7262.99,N/A
132,BC-0131,N/A,35.02085,-106.33535,WGS84,7306.00,N/A
133,BC-0132,N/A,35.16593,-106.33501,WGS84,6739.99,N/A
134,BC-0133,N/A,35.15348,-106.29422,WGS84,6972.01,N/A
135,BC-0134,N/A,35.15325,-106.29862,WGS84,6858.01,N/A
136,BC-0135,N/A,35.15234,-106.29969,WGS84,6808.01,N/A
137,BC-0136,N/A,35.15616,-106.29673,WGS84,6824.02,N/A
138,BC-0137,N/A,35.18512,-106.54082,WGS84,5589.01,N/A
139,BC-0138,N/A,35.19777,-106.56005,WGS84,5369.00,N/A
140,BC-0139,N/A,35.1605,-106.4984,WGS84,6025.98,N/A
141,BC-0141,N/A,35.19525,-106.55278,WGS84,5443.01,N/A
142,BC-0142,N/A,35.1952,-106.55665,WGS84,5406.99,N/A
143,BC-0143,N/A,35.19611,-106.55611,WGS84,5410.99,N/A
144,BC-0144,N/A,35.19323,-106.55539,WGS84,5423.00,N/A
145,BC-0145,N/A,35.19682,-106.56375,WGS84,5333.01,N/A
146,BC-0146,N/A,35.19686,-106.56093,WGS84,5358.99,N/A
147,BC-0147,N/A,35.14966,-106.35513,WGS84,7079.99,N/A
148,BC-0148,N/A,35.14881,-106.35018,WGS84,6970.01,N/A
149,BC-0149,N/A,35.15938,-106.36403,WGS84,7089.99,N/A
150,BC-0150,N/A,35.15389,-106.36345,WGS84,7064.01,N/A
151,BC-0151,N/A,35.15829,-106.32428,WGS84,6673.00,N/A
152,BC-0152,N/A,35.15811,-106.32442,WGS84,6675.98,N/A
153,BC-0153,N/A,35.15409,-106.32916,WGS84,6737.99,N/A
154,BC-0154,N/A,35.15645,-106.31967,WGS84,6691.99,N/A
155,BC-0155,N/A,35.15921,-106.29746,WGS84,6958.99,N/A
156,BC-0156,350949106184501,35.16248,-106.31221,WGS84,6704.00,N/A
157,BC-0157,N/A,35.15704,-106.30679,WGS84,6749.02,N/A
158,BC-0158,N/A,35.15809,-106.30996,WGS84,6760.99,N/A
159,BC-0159,N/A,35.16271,-106.36479,WGS84,7137.01,N/A
160,BC-0160,350949106211801,35.1629,-106.35602,WGS84,6966.99,N/A
161,BC-0161,N/A,35.17008,-106.3666,WGS84,7141.01,N/A
162,BC-0162,N/A,35.16183,-106.35529,WGS84,6974.02,N/A
163,BC-0163,N/A,35.16847,-106.36576,WGS84,7071.00,N/A
164,BC-0164,N/A,35.23843,-106.32294,WGS84,6423.00,N/A
165,BC-0165,N/A,35.22014,-106.33527,WGS84,6652.99,N/A
166,BC-0166,351358106202701,35.23291,-106.34125,WGS84,6570.01,NAVD88
167,BC-0167,N/A,35.10639,-106.32967,WGS84,6885.99,N/A
168,BC-0168,N/A,35.09937,-106.32791,WGS84,6804.99,N/A
169,BC-0169,N/A,35.10412,-106.32264,WGS84,6975.98,N/A
170,BC-0170,N/A,35.10785,-106.3275,WGS84,6852.99,N/A
171,BC-0171,N/A,35.1057,-106.32625,WGS84,6943.01,N/A
172,BC-0172,N/A,35.10957,-106.32754,WGS84,6829.99,N/A
173,BC-0173,N/A,35.10448,-106.32276,WGS84,6966.01,N/A
174,BC-0174,N/A,35.10301,-106.33326,WGS84,6852.00,N/A
175,BC-0175,N/A,35.11,-106.32917,WGS84,6804.00,N/A
176,BC-0176,N/A,35.10657,-106.32968,WGS84,6877.99,N/A
177,BC-0177,N/A,35.10552,-106.32668,WGS84,6933.01,N/A
178,BC-0178,N/A,35.10444,-106.32641,WGS84,6952.00,N/A
179,BC-0179,N/A,35.10355,-106.32514,WGS84,6999.02,N/A
180,BC-0180,N/A,35.10401,-106.32451,WGS84,6979.00,N/A
181,BC-0181,N/A,35.10457,-106.32274,WGS84,6964.01,N/A
182,BC-0182,N/A,35.10575,-106.32251,WGS84,6933.99,N/A
183,BC-0183,N/A,35.1031,-106.3249,WGS84,7010.99,N/A
184,BC-0184,N/A,35.1052,-106.32322,WGS84,6935.01,N/A
185,BC-0185,N/A,35.10364,-106.3255,WGS84,6989.01,N/A
186,BC-0186,N/A,35.10302,-106.32428,WGS84,7014.01,N/A
187,BC-0187,N/A,35.10347,-106.32482,WGS84,7004.00,N/A
188,BC-0189,N/A,34.99772,-106.32357,WGS84,7691.99,N/A
189,BC-0190,N/A,35.1437,-106.36379,WGS84,6975.98,N/A
190,BC-0191,N/A,35.14443,-106.36323,WGS84,6979.00,N/A
191,BC-0192,N/A,35.21481,-106.36583,WGS84,6923.00,N/A
192,BC-0193,N/A,35.15645,-106.34404,WGS84,6875.00,N/A
193,BC-0194,N/A,35.15645,-106.34394,WGS84,6875.00,N/A
194,BC-0195,N/A,35.15151,-106.35021,WGS84,7028.67,N/A
195,BC-0196,N/A,35.07034,-106.46094,WGS84,6070.05,N/A
196,BC-0197,N/A,35.11635,-106.30872,WGS84,6890.72,N/A
197,BC-0198,N/A,34.97853,-106.32153,WGS84,7516.47,N/A
198,BC-0199,N/A,35.09603,-106.36968,WGS84,6443.54,N/A
199,BC-0200,N/A,34.98549,-106.26075,WGS84,7257.28,N/A
200,BC-0201,N/A,35.16268,-106.34311,WGS84,6811.65,N/A
201,BC-0202,N/A,35.14091,-106.25482,WGS84,6914.57,N/A
202,BC-0203,N/A,34.93916,-106.29371,WGS84,7484.68,N/A
203,BC-0204,N/A,35.11798,-106.37326,WGS84,6729.43,N/A
204,BC-0205,N/A,35.09873,-106.36153,WGS84,6466.37,N/A
205,BC-0206,N/A,35.03521,-106.34176,WGS84,7154.30,N/A
206,BC-0207,N/A,35.03909,-106.3411,WGS84,7166.37,N/A
207,BC-0208,N/A,35.14827,-106.3499,WGS84,6964.37,N/A
208,BC-0209,N/A,35.12281,-106.35339,WGS84,6971.39,N/A
209,BC-0210,N/A,35.16523,-106.35742,WGS84,6943.50,N/A
210,BC-0211,N/A,35.16307,-106.34916,WGS84,6880.68,N/A
211,BC-0212,N/A,35.08793,-106.39966,WGS84,6698.75,N/A
212,BC-0213,N/A,35.14213,-106.26769,WGS84,6864.63,N/A
213,BC-0214,N/A,34.9606,-106.25203,WGS84,7070.54,N/A
214,BC-0215,N/A,35.05538,-106.29424,WGS84,7194.72,N/A
215,BC-0216,N/A,35.11212,-106.30855,WGS84,6836.78,N/A
216,BC-0217,N/A,35.10453,-106.38296,WGS84,6725.82,N/A
217,BC-0218,N/A,35.07696,-106.38924,WGS84,6276.05,N/A
218,BC-0219,N/A,35.07687,-106.38946,WGS84,6278.02,N/A
219,BC-0220,N/A,35.0767,-106.38851,WGS84,6287.34,N/A
220,BC-0221,N/A,35.16396,-106.34146,WGS84,6799.34,N/A
221,BC-0222,N/A,35.12312,-106.37363,WGS84,6793.64,N/A
222,BC-0223,N/A,35.15107,-106.36542,WGS84,7051.51,N/A
223,BC-0224,N/A,35.16278,-106.36688,WGS84,7116.57,N/A
224,BC-0225,N/A,35.1697,-106.36826,WGS84,7126.12,N/A
225,BC-0226,N/A,35.20776,-106.35992,WGS84,7014.90,N/A
226,BC-0227,N/A,35.15153,-106.30782,WGS84,6700.82,N/A
227,BC-0228,N/A,35.14309,-106.27035,WGS84,6845.93,N/A
228,BC-0229,N/A,35.06918,-106.46006,WGS84,6027.03,N/A
229,BC-0230,N/A,35.08502,-106.38638,WGS84,6452.53,N/A
230,BC-0231,N/A,35.10578,-106.32785,WGS84,6894.78,N/A
231,BC-0232,N/A,35.11592,-106.30747,WGS84,6846.33,N/A
232,BC-0233,N/A,35.16686,-106.36463,WGS84,7066.44,N/A
233,BC-0234,N/A,35.11065,-106.36848,WGS84,6778.54,N/A
234,BC-0235,N/A,35.10987,-106.37318,WGS84,6606.20,N/A
235,BC-0236,N/A,35.15928,-106.36501,WGS84,7098.20,N/A
236,BC-0237,N/A,35.16151,-106.34312,WGS84,6794.36,N/A
237,BC-0238,N/A,35.16433,-106.34115,WGS84,6799.77,N/A
238,BC-0239,N/A,35.10654,-106.32405,WGS84,6859.28,N/A
239,BC-0240,N/A,35.09998,-106.34698,WGS84,6614.34,N/A
240,BC-0241,N/A,35.16905,-106.49983,WGS84,6031.23,N/A
241,BC-0242,N/A,35.06811,-106.45931,WGS84,5992.39,N/A
242,BC-0243,N/A,35.06794,-106.44357,WGS84,6077.13,N/A
243,BC-0244,N/A,35.10207,-106.32862,WGS84,6773.79,N/A
244,BC-0245,N/A,35.12611,-106.37996,WGS84,6932.61,N/A
